dataset,column,data_type,non_null,null_count,unique_values
olist_closed_deals_dataset.csv,mql_id,str,842,0,842
olist_closed_deals_dataset.csv,seller_id,str,842,0,842
olist_closed_deals_dataset.csv,sdr_id,str,842,0,32
olist_closed_deals_dataset.csv,sr_id,str,842,0,22
olist_closed_deals_dataset.csv,won_date,str,842,0,824
olist_closed_deals_dataset.csv,business_segment,str,841,1,33
olist_closed_deals_dataset.csv,lead_type,str,836,6,8
olist_closed_deals_dataset.csv,lead_behaviour_profile,str,665,177,9
olist_closed_deals_dataset.csv,has_company,object,63,779,2
olist_closed_deals_dataset.csv,has_gtin,object,64,778,2
olist_closed_deals_dataset.csv,average_stock,str,66,776,6
olist_closed_deals_dataset.csv,business_type,str,832,10,3
olist_closed_deals_dataset.csv,declared_product_catalog_size,float64,69,773,33
olist_closed_deals_dataset.csv,declared_monthly_revenue,float64,842,0,27
olist_customers_dataset.csv,customer_id,str,99441,0,99441
olist_customers_dataset.csv,customer_unique_id,str,99441,0,96096
olist_customers_dataset.csv,customer_zip_code_prefix,int64,99441,0,14994
olist_customers_dataset.csv,customer_city,str,99441,0,4119
olist_customers_dataset.csv,customer_state,str,99441,0,27
olist_geolocation_dataset.csv,geolocation_zip_code_prefix,int64,1000163,0,19015
olist_geolocation_dataset.csv,geolocation_lat,float64,1000163,0,717360
olist_geolocation_dataset.csv,geolocation_lng,float64,1000163,0,717613
olist_geolocation_dataset.csv,geolocation_city,str,1000163,0,8011
olist_geolocation_dataset.csv,geolocation_state,str,1000163,0,27
olist_marketing_qualified_leads_dataset.csv,mql_id,str,8000,0,8000
olist_marketing_qualified_leads_dataset.csv,first_contact_date,str,8000,0,336
olist_marketing_qualified_leads_dataset.csv,landing_page_id,str,8000,0,495
olist_marketing_qualified_leads_dataset.csv,origin,str,7940,60,10
olist_orders_dataset.csv,order_id,str,99441,0,99441
olist_orders_dataset.csv,customer_id,str,99441,0,99441
olist_orders_dataset.csv,order_status,str,99441,0,8
olist_orders_dataset.csv,order_purchase_timestamp,str,99441,0,98875
olist_orders_dataset.csv,order_approved_at,str,99281,160,90733
olist_orders_dataset.csv,order_delivered_carrier_date,str,97658,1783,81018
olist_orders_dataset.csv,order_delivered_customer_date,str,96476,2965,95664
olist_orders_dataset.csv,order_estimated_delivery_date,str,99441,0,459
olist_order_items_dataset.csv,order_id,str,112650,0,98666
olist_order_items_dataset.csv,order_item_id,int64,112650,0,21
olist_order_items_dataset.csv,product_id,str,112650,0,32951
olist_order_items_dataset.csv,seller_id,str,112650,0,3095
olist_order_items_dataset.csv,shipping_limit_date,str,112650,0,93318
olist_order_items_dataset.csv,price,float64,112650,0,5968
olist_order_items_dataset.csv,freight_value,float64,112650,0,6999
olist_order_payments_dataset.csv,order_id,str,103886,0,99440
olist_order_payments_dataset.csv,payment_sequential,int64,103886,0,29
olist_order_payments_dataset.csv,payment_type,str,103886,0,5
olist_order_payments_dataset.csv,payment_installments,int64,103886,0,24
olist_order_payments_dataset.csv,payment_value,float64,103886,0,29077
olist_order_reviews_dataset.csv,review_id,str,99224,0,98410
olist_order_reviews_dataset.csv,order_id,str,99224,0,98673
olist_order_reviews_dataset.csv,review_score,int64,99224,0,5
olist_order_reviews_dataset.csv,review_comment_title,str,11568,87656,4527
olist_order_reviews_dataset.csv,review_comment_message,str,40977,58247,36159
olist_order_reviews_dataset.csv,review_creation_date,str,99224,0,636
olist_order_reviews_dataset.csv,review_answer_timestamp,str,99224,0,98248
olist_products_dataset.csv,product_id,str,32951,0,32951
olist_products_dataset.csv,product_category_name,str,32341,610,73
olist_products_dataset.csv,product_name_lenght,float64,32341,610,66
olist_products_dataset.csv,product_description_lenght,float64,32341,610,2960
olist_products_dataset.csv,product_photos_qty,float64,32341,610,19
olist_products_dataset.csv,product_weight_g,float64,32949,2,2204
olist_products_dataset.csv,product_length_cm,float64,32949,2,99
olist_products_dataset.csv,product_height_cm,float64,32949,2,102
olist_products_dataset.csv,product_width_cm,float64,32949,2,95
olist_sellers_dataset.csv,seller_id,str,3095,0,3095
olist_sellers_dataset.csv,seller_zip_code_prefix,int64,3095,0,2246
olist_sellers_dataset.csv,seller_city,str,3095,0,611
olist_sellers_dataset.csv,seller_state,str,3095,0,23
product_category_name_translation.csv,product_category_name,str,71,0,71
product_category_name_translation.csv,product_category_name_english,str,71,0,71
